RPID,LETTER_CODE,"SHORT_NAME","LONG_NAME",AUTOMATED_SHORT_NAME,AUTOMATED_LONG_NAME,AUTOMATED_LONG_DESCRIPTION,STATUS,STATUS_REASON,STATUS_TEXT,CHANGE_TYPE,"CHANGE_REASON_PUBLIC",EXPORTED_TO_LOINC,MODALITY,PLAYBOOK_TYPE,POPULATION,BODY_REGION,BODY_REGION_2,BODY_REGION_3,BODY_REGION_4,BODY_REGION_5,MODALITY_MODIFIER,MODALITY_MODIFIER_2,MODALITY_MODIFIER_3,PROCEDURE_MODIFIER,PROCEDURE_MODIFIER_2,ANATOMIC_FOCUS,ANATOMIC_FOCUS_2,LATERALITY,REASON_FOR_EXAM,REASON_FOR_EXAM_2,REASON_FOR_EXAM_3,TECHNIQUE,PHARMACEUTICAL,PHARMACEUTICAL_2,VIEW,VIEW_2,VIEW_3,VIEW_4,,RIDS
RPID1131,,"","",CT HEAD NECK ANGIO VENO BRN W IVCON,CT HEAD NECK ANGIOGRAPHY VENOGRAPHY BRAIN WITH IV CONTRAST,A computed tomography  RADIOLOGY ORDERABLE ANGIOGRAPHY and VENOGRAPHY procedure focused on the BRAIN in the HEAD and NECK WITH IV CONTRAST,ACTIVE,,"",,"",FALSE,CT,RADIOLOGY ORDERABLE, ,HEAD,NECK, , , ,ANGIOGRAPHY,VENOGRAPHY, , , ,BRAIN, , , , , , ,WITH IV CONTRAST, , , , , , ,RID10321|RID13060|0|RID9080|RID7488|0|0|0|RID10371|RID10379|0|0|0|RID6434|0|0|0|0|0|0|RID28769|0|0|0|0|0|
RPID1132,,"","",CT HEAD CHST ABD PELVIS BRN W IVCON,CT HEAD CHEST ABDOMEN PELVIS BRAIN WITH IV CONTRAST,A computed tomography  RADIOLOGY ORDERABLE imaging procedure focused on the BRAIN in the HEAD and CHEST and ABDOMEN and PELVIS WITH IV CONTRAST,ACTIVE,,"",,"",FALSE,CT,RADIOLOGY ORDERABLE, ,HEAD,CHEST,ABDOMEN,PELVIS, , , , , , ,BRAIN, , , , , , ,WITH IV CONTRAST, , , , , , ,RID10321|RID13060|0|RID9080|RID1243|RID56|RID2507|0|0|0|0|0|0|RID6434|0|0|0|0|0|0|RID28769|0|0|0|0|0|
RPID1133,,"","",CT HEAD PERFUS BRN,CT HEAD PERFUSION BRAIN,A computed tomography  RADIOLOGY ORDERABLE PERFUSION procedure focused on the BRAIN in the HEAD,ACTIVE,,"",,"",FALSE,CT,RADIOLOGY ORDERABLE, ,HEAD, , , , ,PERFUSION, , , , ,BRAIN, , , , , , , , , , , , , ,RID10321|RID13060|0|RID9080|0|0|0|0|RID10376|0|0|0|0|RID6434|0|0|0|0|0|0|0|0|0|0|0|0|
RPID1134,,"","",CT HEAD VENO BRN WO IVCON,CT HEAD VENOGRAPHY BRAIN WITHOUT IV CONTRAST,A computed tomography  RADIOLOGY ORDERABLE VENOGRAPHY procedure focused on the BRAIN in the HEAD WITHOUT IV CONTRAST,ACTIVE,,"",,"",FALSE,CT,RADIOLOGY ORDERABLE, ,HEAD, , , , ,VENOGRAPHY, , , , ,BRAIN, , , , , , ,WITHOUT IV CONTRAST, , , , , , ,RID10321|RID13060|0|RID9080|0|0|0|0|RID10379|0|0|0|0|RID6434|0|0|0|0|0|0|RID28768|0|0|0|0|0|
RPID1135,,"","",CT HEAD NECK C SPINE ANGIO BRN WO & W IVCON,CT HEAD NECK CERVICAL SPINE ANGIOGRAPHY BRAIN WITHOUT THEN WITH IV CONTRAST,A computed tomography  RADIOLOGY ORDERABLE ANGIOGRAPHY procedure focused on the BRAIN in the HEAD and NECK and CERVICAL SPINE WITHOUT THEN WITH IV CONTRAST,ACTIVE,,"",,"",FALSE,CT,RADIOLOGY ORDERABLE, ,HEAD,NECK,CERVICAL SPINE, , ,ANGIOGRAPHY, , , , ,BRAIN, , , , , , ,WITHOUT THEN WITH IV CONTRAST, , , , , , ,RID10321|RID13060|0|RID9080|RID7488|RID34571|0|0|RID10371|0|0|0|0|RID6434|0|0|0|0|0|0|RID28771|0|0|0|0|0|
RPID1136,,"","",CT HEAD CHST BRN WO IVCON,CT HEAD CHEST BRAIN WITHOUT IV CONTRAST,A computed tomography  RADIOLOGY ORDERABLE imaging procedure focused on the BRAIN in the HEAD and CHEST WITHOUT IV CONTRAST,ACTIVE,,"",,"",FALSE,CT,RADIOLOGY ORDERABLE, ,HEAD,CHEST, , , , , , , , ,BRAIN, , , , , , ,WITHOUT IV CONTRAST, , , , , , ,RID10321|RID13060|0|RID9080|RID1243|0|0|0|0|0|0|0|0|RID6434|0|0|0|0|0|0|RID28768|0|0|0|0|0|
RPID1137,,"","",CT HEAD C SPINE BRN WO IVCON,CT HEAD CERVICAL SPINE BRAIN WITHOUT IV CONTRAST,A computed tomography  RADIOLOGY ORDERABLE imaging procedure focused on the BRAIN in the HEAD and CERVICAL SPINE WITHOUT IV CONTRAST,ACTIVE,,"",,"",FALSE,CT,RADIOLOGY ORDERABLE, ,HEAD,CERVICAL SPINE, , , , , , , , ,BRAIN, , , , , , ,WITHOUT IV CONTRAST, , , , , , ,RID10321|RID13060|0|RID9080|RID34571|0|0|0|0|0|0|0|0|RID6434|0|0|0|0|0|0|RID28768|0|0|0|0|0|
RPID1138,,"","",CT HEAD NECK C SPINE BRN W IVCON,CT HEAD NECK CERVICAL SPINE BRAIN WITH IV CONTRAST,A computed tomography  RADIOLOGY ORDERABLE imaging procedure focused on the BRAIN in the HEAD and NECK and CERVICAL SPINE WITH IV CONTRAST,ACTIVE,,"",,"",FALSE,CT,RADIOLOGY ORDERABLE, ,HEAD,NECK,CERVICAL SPINE, , , , , , , ,BRAIN, , , , , , ,WITH IV CONTRAST, , , , , , ,RID10321|RID13060|0|RID9080|RID7488|RID34571|0|0|0|0|0|0|0|RID6434|0|0|0|0|0|0|RID28769|0|0|0|0|0|
RPID1139,,"","",CT HEAD BRN SCREEN WO IVCON,CT HEAD BRAIN SCREENING WITHOUT IV CONTRAST,A computed tomography  RADIOLOGY ORDERABLE imaging procedure focused on the BRAIN in the HEAD WITHOUT IV CONTRAST for the purpose of SCREENING,ACTIVE,,"",,"",FALSE,CT,RADIOLOGY ORDERABLE, ,HEAD, , , , , , , , , ,BRAIN, , ,SCREENING, , , ,WITHOUT IV CONTRAST, , , , , , ,RID10321|RID13060|0|RID9080|0|0|0|0|0|0|0|0|0|RID6434|0|0|RID28817|0|0|0|RID28768|0|0|0|0|0|
RPID1140,,"","",CT HI RES WO IVCON,CT HIGH RESOLUTION WITHOUT IV CONTRAST,A computed tomography  RADIOLOGY ORDERABLE HIGH RESOLUTION procedure focused on the WITHOUT IV CONTRAST,ACTIVE,,"",,"",FALSE,CT,RADIOLOGY ORDERABLE, , , , , , ,HIGH RESOLUTION, , , , , , , , , , , ,WITHOUT IV CONTRAST, , , , , , ,RID10321|RID13060|0|0|0|0|0|0|RID35736|0|0|0|0|0|0|0|0|0|0|0|RID28768|0|0|0|0|0|
RPID1141,,"","",CT ABD ANGIO LIVER DONOR WO & W IVCON,CT ABDOMEN ANGIOGRAPHY LIVER DONOR WITHOUT THEN WITH IV CONTRAST,A computed tomography  RADIOLOGY ORDERABLE ANGIOGRAPHY procedure focused on the LIVER in the ABDOMEN WITHOUT THEN WITH IV CONTRAST for the purpose of DONOR,ACTIVE,,"",,"",FALSE,CT,RADIOLOGY ORDERABLE, ,ABDOMEN, , , , ,ANGIOGRAPHY, , , , ,LIVER, , ,DONOR, , , ,WITHOUT THEN WITH IV CONTRAST, , , , , , ,RID10321|RID13060|0|RID56|0|0|0|0|RID10371|0|0|0|0|RID58|0|0|RID28811|0|0|0|RID28771|0|0|0|0|0|
RPID1142,,"","",CT HI RES WO & W IVCON,CT HIGH RESOLUTION WITHOUT THEN WITH IV CONTRAST,A computed tomography  RADIOLOGY ORDERABLE HIGH RESOLUTION procedure focused on the WITHOUT THEN WITH IV CONTRAST,ACTIVE,,"",,"",FALSE,CT,RADIOLOGY ORDERABLE, , , , , , ,HIGH RESOLUTION, , , , , , , , , , , ,WITHOUT THEN WITH IV CONTRAST, , , , , , ,RID10321|RID13060|0|0|0|0|0|0|RID35736|0|0|0|0|0|0|0|0|0|0|0|RID28771|0|0|0|0|0|
RPID1143,,"","",CT PELVIS LE HIP WO & W IVCON,CT PELVIS LOWER EXTREMITY HIP WITHOUT THEN WITH IV CONTRAST,A computed tomography  RADIOLOGY ORDERABLE imaging procedure focused on the HIP in the PELVIS and LOWER EXTREMITY WITHOUT THEN WITH IV CONTRAST,ACTIVE,,"",,"",FALSE,CT,RADIOLOGY ORDERABLE, ,PELVIS,LOWER EXTREMITY, , , , , , , , ,HIP, , , , , , ,WITHOUT THEN WITH IV CONTRAST, , , , , , ,RID10321|RID13060|0|RID2507|RID2638|0|0|0|0|0|0|0|0|RID2639|0|0|0|0|0|0|RID28771|0|0|0|0|0|
RPID1144,,"","",CT CANCER W IVCON,CT MALIGNANT NEOPLASM WITH IV CONTRAST,A computed tomography  RADIOLOGY ORDERABLE imaging procedure focused on the WITH IV CONTRAST for the purpose of MALIGNANT NEOPLASM,ACTIVE,,"",,"",FALSE,CT,RADIOLOGY ORDERABLE, , , , , , , , , , , , , , ,MALIGNANT NEOPLASM, , , ,WITH IV CONTRAST, , , , , , ,RID10321|RID13060|0|0|0|0|0|0|0|0|0|0|0|0|0|0|RID36042|0|0|0|RID28769|0|0|0|0|0|
RPID1145,,"","",CT UE HUMERUS WO & W IVCON,CT UPPER EXTREMITY HUMERUS WITHOUT THEN WITH IV CONTRAST,A computed tomography  RADIOLOGY ORDERABLE imaging procedure focused on the HUMERUS in the UPPER EXTREMITY WITHOUT THEN WITH IV CONTRAST,ACTIVE,,"",,"",FALSE,CT,RADIOLOGY ORDERABLE, ,UPPER EXTREMITY, , , , , , , , , ,HUMERUS, , , , , , ,WITHOUT THEN WITH IV CONTRAST, , , , , , ,RID10321|RID13060|0|RID1850|0|0|0|0|0|0|0|0|0|RID1971|0|0|0|0|0|0|RID28771|0|0|0|0|0|
RPID1146,,"","",CT UE HUMERUS W IVCON,CT UPPER EXTREMITY HUMERUS WITH IV CONTRAST,A computed tomography  RADIOLOGY ORDERABLE imaging procedure focused on the HUMERUS in the UPPER EXTREMITY WITH IV CONTRAST,ACTIVE,,"",,"",FALSE,CT,RADIOLOGY ORDERABLE, ,UPPER EXTREMITY, , , , , , , , , ,HUMERUS, , , , , , ,WITH IV CONTRAST, , , , , , ,RID10321|RID13060|0|RID1850|0|0|0|0|0|0|0|0|0|RID1971|0|0|0|0|0|0|RID28769|0|0|0|0|0|
RPID1147,,"","",CT ABD LO DOSE WO IVCON,CT ABDOMEN LOW DOSE WITHOUT IV CONTRAST,A computed tomography  RADIOLOGY ORDERABLE LOW DOSE procedure focused on the ABDOMEN WITHOUT IV CONTRAST,ACTIVE,,"",,"",FALSE,CT,RADIOLOGY ORDERABLE, ,ABDOMEN, , , , ,LOW DOSE, , , , , , , , , , , ,WITHOUT IV CONTRAST, , , , , , ,RID10321|RID13060|0|RID56|0|0|0|0|RID35737|0|0|0|0|0|0|0|0|0|0|0|RID28768|0|0|0|0|0|
RPID1148,,"","",CT PEDS HEAD RECON ORBITS W IVCON,CT PEDIATRIC HEAD RECONSTRUCTION ORBITS WITH IV CONTRAST,A computed tomography  RADIOLOGY ORDERABLE PEDIATRIC RECONSTRUCTION procedure focused on the ORBITS in the HEAD WITH IV CONTRAST,ACTIVE,,"",,"",FALSE,CT,RADIOLOGY ORDERABLE,PEDIATRIC,HEAD, , , , ,RECONSTRUCTION, , , , ,ORBITS, , , , , , ,WITH IV CONTRAST, , , , , , ,RID10321|RID13060|RID34492|RID9080|0|0|0|0|RID28665|0|0|0|0|RID28601|0|0|0|0|0|0|RID28769|0|0|0|0|0|
RPID1149,,"","",CT HEAD ANGIO VENO BRN W IVCON,CT HEAD ANGIOGRAPHY VENOGRAPHY BRAIN WITH IV CONTRAST,A computed tomography  RADIOLOGY ORDERABLE ANGIOGRAPHY and VENOGRAPHY procedure focused on the BRAIN in the HEAD WITH IV CONTRAST,ACTIVE,,"",,"",FALSE,CT,RADIOLOGY ORDERABLE, ,HEAD, , , , ,ANGIOGRAPHY,VENOGRAPHY, , , ,BRAIN, , , , , , ,WITH IV CONTRAST, , , , , , ,RID10321|RID13060|0|RID9080|0|0|0|0|RID10371|RID10379|0|0|0|RID6434|0|0|0|0|0|0|RID28769|0|0|0|0|0|
RPID1150,,"","",CT PEDS HEAD CRANIO SYN WO IVCON,CT PEDIATRIC HEAD CRANIOSYNOSTOSIS WITHOUT IV CONTRAST,A computed tomography  RADIOLOGY ORDERABLE PEDIATRIC imaging procedure focused on the HEAD WITHOUT IV CONTRAST for the purpose of CRANIOSYNOSTOSIS,ACTIVE,,"",,"",FALSE,CT,RADIOLOGY ORDERABLE,PEDIATRIC,HEAD, , , , , , , , , , , , ,CRANIOSYNOSTOSIS, , , ,WITHOUT IV CONTRAST, , , , , , ,RID10321|RID13060|RID34492|RID9080|0|0|0|0|0|0|0|0|0|0|0|0|RID34603|0|0|0|RID28768|0|0|0|0|0|
RPID1151,,"","",CT HEAD LO DOSE BRN WO IVCON,CT HEAD LOW DOSE BRAIN WITHOUT IV CONTRAST,A computed tomography  RADIOLOGY ORDERABLE LOW DOSE procedure focused on the BRAIN in the HEAD WITHOUT IV CONTRAST,ACTIVE,,"",,"",FALSE,CT,RADIOLOGY ORDERABLE, ,HEAD, , , , ,LOW DOSE, , , , ,BRAIN, , , , , , ,WITHOUT IV CONTRAST, , , , , , ,RID10321|RID13060|0|RID9080|0|0|0|0|RID35737|0|0|0|0|RID6434|0|0|0|0|0|0|RID28768|0|0|0|0|0|
RPID1152,,"","",CT HEAD 3D IMAGE BRN WO IVCON,CT HEAD 3D IMAGING PROCESSING BRAIN WITHOUT IV CONTRAST,A computed tomography  RADIOLOGY ORDERABLE 3D IMAGING PROCESSING procedure focused on the BRAIN in the HEAD WITHOUT IV CONTRAST,ACTIVE,,"",,"",FALSE,CT,RADIOLOGY ORDERABLE, ,HEAD, , , , ,3D IMAGING PROCESSING, , , , ,BRAIN, , , , , , ,WITHOUT IV CONTRAST, , , , , , ,RID10321|RID13060|0|RID9080|0|0|0|0|RID36017|0|0|0|0|RID6434|0|0|0|0|0|0|RID28768|0|0|0|0|0|
RPID1153,,"","",CT HEAD LO DOSE PERFUS BRN WO & W IVCON,CT HEAD LOW DOSE PERFUSION BRAIN WITHOUT THEN WITH IV CONTRAST,A computed tomography  RADIOLOGY ORDERABLE LOW DOSE and PERFUSION procedure focused on the BRAIN in the HEAD WITHOUT THEN WITH IV CONTRAST,ACTIVE,,"",,"",FALSE,CT,RADIOLOGY ORDERABLE, ,HEAD, , , , ,LOW DOSE,PERFUSION, , , ,BRAIN, , , , , , ,WITHOUT THEN WITH IV CONTRAST, , , , , , ,RID10321|RID13060|0|RID9080|0|0|0|0|RID35737|RID10376|0|0|0|RID6434|0|0|0|0|0|0|RID28771|0|0|0|0|0|
RPID1154,,"","",CT HEAD LO DOSE ANGIO BRN W IVCON,CT HEAD LOW DOSE ANGIOGRAPHY BRAIN WITH IV CONTRAST,A computed tomography  RADIOLOGY ORDERABLE LOW DOSE and ANGIOGRAPHY procedure focused on the BRAIN in the HEAD WITH IV CONTRAST,ACTIVE,,"",,"",FALSE,CT,RADIOLOGY ORDERABLE, ,HEAD, , , , ,LOW DOSE,ANGIOGRAPHY, , , ,BRAIN, , , , , , ,WITH IV CONTRAST, , , , , , ,RID10321|RID13060|0|RID9080|0|0|0|0|RID35737|RID10371|0|0|0|RID6434|0|0|0|0|0|0|RID28769|0|0|0|0|0|
RPID1155,,"","",CT HEAD LO DOSE FACL BNS WO IVCON,CT HEAD LOW DOSE FACIAL BONES WITHOUT IV CONTRAST,A computed tomography  RADIOLOGY ORDERABLE LOW DOSE procedure focused on the FACIAL BONES in the HEAD WITHOUT IV CONTRAST,ACTIVE,,"",,"",FALSE,CT,RADIOLOGY ORDERABLE, ,HEAD, , , , ,LOW DOSE, , , , ,FACIAL BONES, , , , , , ,WITHOUT IV CONTRAST, , , , , , ,RID10321|RID13060|0|RID9080|0|0|0|0|RID35737|0|0|0|0|RID28570|0|0|0|0|0|0|RID28768|0|0|0|0|0|
RPID1156,,"","",CT HEAD FACL BNS WO IVCON,CT HEAD FACIAL BONES WITHOUT IV CONTRAST,A computed tomography  RADIOLOGY ORDERABLE imaging procedure focused on the FACIAL BONES in the HEAD WITHOUT IV CONTRAST,ACTIVE,,"",,"",FALSE,CT,RADIOLOGY ORDERABLE, ,HEAD, , , , , , , , , ,FACIAL BONES, , , , , , ,WITHOUT IV CONTRAST, , , , , , ,RID10321|RID13060|0|RID9080|0|0|0|0|0|0|0|0|0|RID28570|0|0|0|0|0|0|RID28768|0|0|0|0|0|
RPID1157,,"","",CT HEAD LO DOSE BRN WO & W IVCON,CT HEAD LOW DOSE BRAIN WITHOUT THEN WITH IV CONTRAST,A computed tomography  RADIOLOGY ORDERABLE LOW DOSE procedure focused on the BRAIN in the HEAD WITHOUT THEN WITH IV CONTRAST,ACTIVE,,"",,"",FALSE,CT,RADIOLOGY ORDERABLE, ,HEAD, , , , ,LOW DOSE, , , , ,BRAIN, , , , , , ,WITHOUT THEN WITH IV CONTRAST, , , , , , ,RID10321|RID13060|0|RID9080|0|0|0|0|RID35737|0|0|0|0|RID6434|0|0|0|0|0|0|RID28771|0|0|0|0|0|
RPID1158,,"","",CT HEAD LO DOSE ORBITS WO IVCON,CT HEAD LOW DOSE ORBITS WITHOUT IV CONTRAST,A computed tomography  RADIOLOGY ORDERABLE LOW DOSE procedure focused on the ORBITS in the HEAD WITHOUT IV CONTRAST,ACTIVE,,"",,"",FALSE,CT,RADIOLOGY ORDERABLE, ,HEAD, , , , ,LOW DOSE, , , , ,ORBITS, , , , , , ,WITHOUT IV CONTRAST, , , , , , ,RID10321|RID13060|0|RID9080|0|0|0|0|RID35737|0|0|0|0|RID28601|0|0|0|0|0|0|RID28768|0|0|0|0|0|
RPID1159,,"","",CT PEDS HEAD LO DOSE BRN WO IVCON,CT PEDIATRIC HEAD LOW DOSE BRAIN WITHOUT IV CONTRAST,A computed tomography  RADIOLOGY ORDERABLE PEDIATRIC LOW DOSE procedure focused on the BRAIN in the HEAD WITHOUT IV CONTRAST,ACTIVE,,"",,"",FALSE,CT,RADIOLOGY ORDERABLE,PEDIATRIC,HEAD, , , , ,LOW DOSE, , , , ,BRAIN, , , , , , ,WITHOUT IV CONTRAST, , , , , , ,RID10321|RID13060|RID34492|RID9080|0|0|0|0|RID35737|0|0|0|0|RID6434|0|0|0|0|0|0|RID28768|0|0|0|0|0|
RPID1160,,"","",CT PEDS HEAD LO DOSE FACL BNS WO IVCON,CT PEDIATRIC HEAD LOW DOSE FACIAL BONES WITHOUT IV CONTRAST,A computed tomography  RADIOLOGY ORDERABLE PEDIATRIC LOW DOSE procedure focused on the FACIAL BONES in the HEAD WITHOUT IV CONTRAST,ACTIVE,,"",,"",FALSE,CT,RADIOLOGY ORDERABLE,PEDIATRIC,HEAD, , , , ,LOW DOSE, , , , ,FACIAL BONES, , , , , , ,WITHOUT IV CONTRAST, , , , , , ,RID10321|RID13060|RID34492|RID9080|0|0|0|0|RID35737|0|0|0|0|RID28570|0|0|0|0|0|0|RID28768|0|0|0|0|0|
RPID1161,,"","",CT HEAD SPINE BRN WO IVCON,CT HEAD SPINE BRAIN WITHOUT IV CONTRAST,A computed tomography  RADIOLOGY ORDERABLE imaging procedure focused on the BRAIN in the HEAD and SPINE WITHOUT IV CONTRAST,ACTIVE,,"",,"",FALSE,CT,RADIOLOGY ORDERABLE, ,HEAD,SPINE, , , , , , , , ,BRAIN, , , , , , ,WITHOUT IV CONTRAST, , , , , , ,RID10321|RID13060|0|RID9080|RID7741|0|0|0|0|0|0|0|0|RID6434|0|0|0|0|0|0|RID28768|0|0|0|0|0|
RPID1162,,"","",CT PEDS ABD LIVER,CT PEDIATRIC ABDOMEN LIVER,A computed tomography  RADIOLOGY ORDERABLE PEDIATRIC imaging procedure focused on the LIVER in the ABDOMEN,ACTIVE,,"",,"",FALSE,CT,RADIOLOGY ORDERABLE,PEDIATRIC,ABDOMEN, , , , , , , , , ,LIVER, , , , , , , , , , , , , ,RID10321|RID13060|RID34492|RID56|0|0|0|0|0|0|0|0|0|RID58|0|0|0|0|0|0|0|0|0|0|0|0|
RPID1163,,"","",CT HEAD 3D IMAGE FACL BNS WO IVCON,CT HEAD 3D IMAGING PROCESSING FACIAL BONES WITHOUT IV CONTRAST,A computed tomography  RADIOLOGY ORDERABLE 3D IMAGING PROCESSING procedure focused on the FACIAL BONES in the HEAD WITHOUT IV CONTRAST,ACTIVE,,"",,"",FALSE,CT,RADIOLOGY ORDERABLE, ,HEAD, , , , ,3D IMAGING PROCESSING, , , , ,FACIAL BONES, , , , , , ,WITHOUT IV CONTRAST, , , , , , ,RID10321|RID13060|0|RID9080|0|0|0|0|RID36017|0|0|0|0|RID28570|0|0|0|0|0|0|RID28768|0|0|0|0|0|
RPID1164,,"","",CT PEDS HEAD 3D IMAGE BRN WO IVCON,CT PEDIATRIC HEAD 3D IMAGING PROCESSING BRAIN WITHOUT IV CONTRAST,A computed tomography  RADIOLOGY ORDERABLE PEDIATRIC 3D IMAGING PROCESSING procedure focused on the BRAIN in the HEAD WITHOUT IV CONTRAST,ACTIVE,,"",,"",FALSE,CT,RADIOLOGY ORDERABLE,PEDIATRIC,HEAD, , , , ,3D IMAGING PROCESSING, , , , ,BRAIN, , , , , , ,WITHOUT IV CONTRAST, , , , , , ,RID10321|RID13060|RID34492|RID9080|0|0|0|0|RID36017|0|0|0|0|RID6434|0|0|0|0|0|0|RID28768|0|0|0|0|0|
RPID1165,,"","",CT HEAD C SPINE IAC WO IVCON,CT HEAD CERVICAL SPINE INTERNAL AUDITORY CANAL WITHOUT IV CONTRAST,A computed tomography  RADIOLOGY ORDERABLE imaging procedure focused on the INTERNAL AUDITORY CANAL in the HEAD and CERVICAL SPINE WITHOUT IV CONTRAST,ACTIVE,,"",,"",FALSE,CT,RADIOLOGY ORDERABLE, ,HEAD,CERVICAL SPINE, , , , , , , , ,INTERNAL AUDITORY CANAL, , , , , , ,WITHOUT IV CONTRAST, , , , , , ,RID10321|RID13060|0|RID9080|RID34571|0|0|0|0|0|0|0|0|RID9392|0|0|0|0|0|0|RID28768|0|0|0|0|0|
RPID1166,,"","",CT PEDS HEAD L SPINE BRN WO IVCON,CT PEDIATRIC HEAD LUMBAR SPINE BRAIN WITHOUT IV CONTRAST,A computed tomography  RADIOLOGY ORDERABLE PEDIATRIC imaging procedure focused on the BRAIN in the HEAD and LUMBAR SPINE WITHOUT IV CONTRAST,ACTIVE,,"",,"",FALSE,CT,RADIOLOGY ORDERABLE,PEDIATRIC,HEAD,LUMBAR SPINE, , , , , , , , ,BRAIN, , , , , , ,WITHOUT IV CONTRAST, , , , , , ,RID10321|RID13060|RID34492|RID9080|RID34573|0|0|0|0|0|0|0|0|RID6434|0|0|0|0|0|0|RID28768|0|0|0|0|0|
RPID1167,,"","",CT HEAD NECK CHST ABD PELVIS ANGIO W IVCON,CT HEAD NECK CHEST ABDOMEN PELVIS ANGIOGRAPHY WITH IV CONTRAST,A computed tomography  RADIOLOGY ORDERABLE ANGIOGRAPHY procedure focused on the HEAD and NECK and CHEST and ABDOMEN and PELVIS WITH IV CONTRAST,ACTIVE,,"",,"",FALSE,CT,RADIOLOGY ORDERABLE, ,HEAD,NECK,CHEST,ABDOMEN,PELVIS,ANGIOGRAPHY, , , , , , , , , , , ,WITH IV CONTRAST, , , , , , ,RID10321|RID13060|0|RID9080|RID7488|RID1243|RID56|RID2507|RID10371|0|0|0|0|0|0|0|0|0|0|0|RID28769|0|0|0|0|0|
RPID1168,,"","",CT PEDS HEAD SPINE BRN WO IVCON,CT PEDIATRIC HEAD SPINE BRAIN WITHOUT IV CONTRAST,A computed tomography  RADIOLOGY ORDERABLE PEDIATRIC imaging procedure focused on the BRAIN in the HEAD and SPINE WITHOUT IV CONTRAST,ACTIVE,,"",,"",FALSE,CT,RADIOLOGY ORDERABLE,PEDIATRIC,HEAD,SPINE, , , , , , , , ,BRAIN, , , , , , ,WITHOUT IV CONTRAST, , , , , , ,RID10321|RID13060|RID34492|RID9080|RID7741|0|0|0|0|0|0|0|0|RID6434|0|0|0|0|0|0|RID28768|0|0|0|0|0|
RPID1169,CTTMURD,"CT Temporal Bone wo by Recon","CT Temporal Bone wo IV Contrast by Reconstruction",CT HEAD RECON TMP BON WO IVCON,CT HEAD RECONSTRUCTION TEMPORAL BONE WITHOUT IV CONTRAST,A computed tomography  RADIOLOGY ORDERABLE RECONSTRUCTION procedure focused on the TEMPORAL BONE in the HEAD WITHOUT IV CONTRAST,ACTIVE,,"",,"",TRUE,CT,RADIOLOGY ORDERABLE, ,HEAD, , , , ,RECONSTRUCTION, , , , ,TEMPORAL BONE, , , , , , ,WITHOUT IV CONTRAST, , , , , , ,RID10321|RID13060|0|RID9080|0|0|0|0|RID28665|0|0|0|0|RID9361|0|0|0|0|0|0|RID28768|0|0|0|0|0|
RPID1170,,"","",CT HEAD MULTI PLAN REF FACL BNS WO & W IVCON,CT HEAD MULTI-PLANAR REFORMATION FACIAL BONES WITHOUT THEN WITH IV CONTRAST,A computed tomography  RADIOLOGY ORDERABLE MULTI-PLANAR REFORMATION imaging procedure focused on the FACIAL BONES in the HEAD WITHOUT THEN WITH IV CONTRAST,ACTIVE,,"",,"",FALSE,CT,RADIOLOGY ORDERABLE, ,HEAD, , , , , , , ,MULTI-PLANAR REFORMATION, ,FACIAL BONES, , , , , , ,WITHOUT THEN WITH IV CONTRAST, , , , , , ,RID10321|RID13060|0|RID9080|0|0|0|0|0|0|0|RID12759|0|RID28570|0|0|0|0|0|0|RID28771|0|0|0|0|0|
RPID1171,,"","",CT CHST ABD PELVIS URO WO & W IVCON,CT CHEST ABDOMEN PELVIS UROGRAPHY WITHOUT THEN WITH IV CONTRAST,A computed tomography  RADIOLOGY ORDERABLE UROGRAPHY procedure focused on the CHEST and ABDOMEN and PELVIS WITHOUT THEN WITH IV CONTRAST,ACTIVE,,"",,"",FALSE,CT,RADIOLOGY ORDERABLE, ,CHEST,ABDOMEN,PELVIS, , ,UROGRAPHY, , , , , , , , , , , ,WITHOUT THEN WITH IV CONTRAST, , , , , , ,RID10321|RID13060|0|RID1243|RID56|RID2507|0|0|RID28551|0|0|0|0|0|0|0|0|0|0|0|RID28771|0|0|0|0|0|
RPID1172,,"","",CT LE KNEE WO & W IVCON,CT LOWER EXTREMITY KNEE WITHOUT THEN WITH IV CONTRAST,A computed tomography  RADIOLOGY ORDERABLE imaging procedure focused on the KNEE in the LOWER EXTREMITY WITHOUT THEN WITH IV CONTRAST,ACTIVE,,"",,"",FALSE,CT,RADIOLOGY ORDERABLE, ,LOWER EXTREMITY, , , , , , , , , ,KNEE, , , , , , ,WITHOUT THEN WITH IV CONTRAST, , , , , , ,RID10321|RID13060|0|RID2638|0|0|0|0|0|0|0|0|0|RID2743|0|0|0|0|0|0|RID28771|0|0|0|0|0|
